245.14,11.73,1.39,16.12,0.80,46.52,75.04,7.63,1.05,22.02,111.41659024261962
235.10,9.27,1.47,13.53,0.70,49.39,77.23,9.93,0.54,23.97,260.4395877606682
233.58,8.37,1.69,11.35,0.54,41.00,59.14,8.56,1.30,24.99,128.9682196380013
258.62,11.75,1.40,10.41,0.54,49.45,89.12,6.89,0.94,23.07,257.09445492279747
255.80,8.65,1.74,12.76,0.59,47.56,42.78,8.69,0.92,28.57,147.23586302234108
233.97,8.61,1.08,16.06,0.90,44.41,82.71,7.58,0.54,24.22,767.6596776653829
234.71,10.04,1.01,14.23,0.55,45.65,76.58,9.62,1.06,25.32,239.48463246854485
233.14,8.01,1.65,15.18,0.87,47.84,47.80,6.32,0.57,22.56,417.22426317790223
239.87,11.46,1.10,14.66,0.63,49.06,94.73,9.37,1.29,26.98,298.41303937142965
237.23,10.02,1.96,13.72,0.71,45.86,56.41,7.78,1.06,31.47,139.3511680812468
247.78,8.65,1.78,10.80,0.56,41.11,81.85,7.10,0.51,28.25,249.27023371571806
246.24,10.85,1.60,19.99,0.56,44.02,80.99,9.87,1.17,22.80,275.6946964518418
241.27,8.21,1.50,15.91,0.50,43.52,42.06,8.19,1.21,22.64,135.55907635588713
243.15,11.36,1.79,19.32,0.53,45.47,71.69,9.36,1.10,31.70,311.3208634038803
254.40,8.44,1.49,18.37,0.72,42.44,80.84,6.05,1.32,27.18,197.42450719325916
246.59,9.51,1.73,10.46,0.72,41.07,53.02,6.50,0.61,29.81,150.10819151349406
258.08,10.74,1.78,10.84,0.88,49.95,56.13,6.74,1.33,25.95,152.46004905004466
231.59,11.26,1.18,17.54,0.61,46.10,98.90,7.27,1.46,31.63,211.03574785016426
252.51,8.42,1.03,11.54,0.88,48.96,53.80,8.24,1.00,25.36,568.7218670659915
237.44,8.89,1.51,18.06,0.89,45.91,48.02,7.01,0.90,24.61,340.55203817567684
244.02,9.98,1.66,15.41,0.85,48.23,40.58,7.60,0.52,22.77,196.73912026849698
246.09,8.65,1.90,10.30,0.83,48.21,92.17,8.88,0.54,29.17,437.1971546786372
235.53,10.27,1.36,17.92,0.76,42.89,69.66,7.25,0.76,28.30,95.53021218564079
238.87,11.10,1.88,19.60,0.61,48.52,45.38,8.27,0.77,27.45,252.89225452361373
236.76,10.90,1.71,17.04,0.53,40.98,80.81,6.68,0.67,30.13,257.9428607856452
252.76,10.09,1.69,18.54,0.51,47.69,47.09,9.19,0.75,31.29,236.8345606761283
259.59,8.70,1.84,14.36,0.64,44.69,97.23,6.96,1.44,28.87,140.42143136478663
252.19,8.72,1.50,16.65,0.79,48.68,92.54,6.60,0.87,28.89,315.45672095829735
250.00,10.39,1.39,16.57,0.53,46.04,86.59,9.38,1.17,26.74,245.61736600906744
233.34,9.28,1.07,19.06,0.78,49.83,70.48,8.80,1.19,30.09,279.2500890837311
255.57,10.14,1.81,10.78,0.61,42.75,43.23,6.07,0.94,27.10,162.32886390843015
235.33,10.88,1.50,13.95,0.90,49.26,57.77,7.23,1.45,25.08,178.46317999110548
259.22,8.52,1.92,12.39,0.56,42.26,86.68,9.46,1.24,31.05,133.84416888063504
252.99,8.20,1.98,10.59,0.81,40.86,84.44,8.56,0.84,24.32,245.53248298368123
233.65,8.13,1.05,12.05,0.89,44.47,89.63,6.26,0.90,25.47,657.2466489137972
231.28,8.07,1.15,10.27,0.90,46.68,52.24,8.10,1.19,28.95,510.66864124588204
231.17,10.53,1.47,15.34,0.68,41.87,98.93,7.07,0.95,31.97,133.333998477397
250.84,8.56,1.73,10.86,0.54,47.21,74.95,7.08,1.01,26.72,148.19795963636582
259.75,10.61,1.51,12.03,0.81,47.57,51.83,9.57,0.50,28.33,192.06693668122136
259.69,9.36,1.48,17.45,0.70,41.54,71.16,6.61,1.03,26.08,97.31678851455119
232.29,9.08,1.07,12.80,0.89,40.63,72.29,8.63,1.20,26.92,442.0593320039406
257.43,9.30,1.35,11.98,0.66,49.85,74.41,6.31,1.41,26.63,79.51563778169934
241.37,8.12,1.83,19.98,0.54,48.56,65.88,7.71,0.53,24.39,241.667905298162
256.31,10.29,1.98,17.19,0.55,44.38,97.70,7.61,0.87,24.96,153.0351531455566
250.56,10.95,1.56,16.19,0.70,49.61,75.39,8.30,0.63,29.45,213.49352571694232
232.87,11.28,1.31,16.29,0.59,42.80,64.78,7.16,0.59,29.93,326.73732125453347
254.27,11.39,1.43,16.93,0.72,45.40,84.21,6.08,0.98,25.18,159.76070867875958
239.39,10.53,1.34,11.57,0.54,49.46,56.35,6.69,0.54,26.99,235.4224404346425
248.73,9.11,1.99,14.31,0.86,47.60,93.67,7.66,0.52,31.94,454.46186798720606
234.62,10.80,1.48,19.41,0.56,42.75,48.64,7.10,0.64,25.28,239.11607926754658
253.73,10.78,1.27,14.92,0.60,45.84,93.19,6.10,1.42,23.21,153.19884942608067
240.11,9.67,1.12,12.15,0.59,46.70,98.46,8.11,1.12,29.49,149.0667144672134
231.69,8.47,1.98,12.39,0.61,46.40,46.88,8.67,0.88,27.75,154.71367538534335
245.97,11.96,1.16,18.53,0.63,42.51,98.00,8.70,1.07,29.97,269.56296217737747
255.88,10.04,1.23,14.28,0.83,48.70,54.62,6.80,0.68,23.24,155.35535752931537
235.32,8.78,1.52,18.93,0.59,49.29,60.11,8.10,0.89,26.04,171.46107375022996
248.28,8.77,1.15,15.04,0.53,45.61,52.25,7.91,0.89,28.97,157.18301260434583
246.62,9.69,1.23,10.18,0.82,44.36,79.96,9.70,0.90,30.16,290.99655808693547
251.50,9.94,1.46,11.47,0.59,42.60,80.48,6.09,0.88,31.22,158.30516274597414
233.39,8.71,1.71,16.09,0.69,42.40,68.42,8.55,0.64,22.19,141.50085414955376
249.69,10.31,1.93,19.81,0.73,40.44,65.82,7.44,1.30,30.85,118.51397738021222
244.67,10.44,1.05,11.61,0.61,48.33,50.32,7.32,1.27,24.37,162.0185276003995
